author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
Katie Paul,Facebook sued in U.S. federal court for alleged anticompetitive conduct,"Four companies sued Facebook Inc in U.S. federal court on Thursday for alleged anticompetitive conduct, saying the social network inappropriately revoked developer access to its platform in order to harm prospective competitors.",https://uk.reuters.com/article/uk-facebook-antitrust-idUKKBN1ZG01V,https://s3.reutersmedia.net/resources/r/?m=02&d=20200117&t=2&i=1477489162&w=1200&r=LYNXMPEG0G00O,2020-01-17T01:59:24Z,"SAN FRANCISCO (Reuters) - Four companies sued Facebook Inc in U.S. federal court on Thursday for alleged anticompetitive conduct, saying the social network inappropriately revoked developer access to its platform in order to harm prospective competitors. 
Th… [+1181 chars]",reuters,Reuters
Reuters Editorial,Oil steady ahead of data seen confirming sluggish China growth,"Oil prices were steady on Friday as investors braced for data expected to show China's economic growth last year slid to its slowest pace in 29 years, holding on to gains for now after Washington and Beijing inked a long-awaited trade deal.",https://ca.reuters.com/article/businessNews/idCAKBN1ZG05P,https://s2.reutersmedia.net/resources/r/?m=02&d=20200117&t=2&i=1477489001&w=1200&r=LYNXMPEG0G03C,2020-01-17T01:58:47Z,"TOKYO (Reuters) - Oil prices were steady on Friday as investors braced for data expected to show China’s economic growth last year slid to its slowest pace in 29 years, holding on to gains for now after Washington and Beijing inked a long-awaited trade deal. … [+1228 chars]",reuters,Reuters
Reuters Editorial,Oil steady ahead of data seen confirming sluggish China growth,"Oil prices were steady on Friday as investors braced for data expected to show China's economic growth last year slid to its slowest pace in 29 years, holding on to gains for now after Washington and Beijing inked a long-awaited trade deal.'",https://www.reuters.com/article/us-global-oil-idUSKBN1ZG05P,https://s2.reutersmedia.net/resources/r/?m=02&d=20200117&t=2&i=1477489001&w=1200&r=LYNXMPEG0G03C,2020-01-17T01:58:47Z,"TOKYO (Reuters) - Oil prices were steady on Friday as investors braced for data expected to show China’s economic growth last year slid to its slowest pace in 29 years, holding on to gains for now after Washington and Beijing inked a long-awaited trade deal. … [+1228 chars]",reuters,Reuters
John Geddie,"UPDATE 1-Singapore Dec exports snap 9-month losing streak, but concerns remain","Singapore's exports rebounded in December after nine months of contraction, confounding expectations for a fall, partly boosted by a sharp rise in pharmaceutical shipments.'",https://www.reuters.com/article/singapore-economy-exports-idUSL4N29M066,https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,2020-01-17T01:58:21Z,"* Dec exports +2.4% y/y, vs -1.8% forecast in Reuters poll 
* Pharmaceutical, gold exports bolster rebound 
* Key electronics sector continues decline (Adds details, analyst comment) 
By John Geddie 
SINGAPORE, Jan 17 (Reuters) - Singapore’s exports rebou… [+1931 chars]",reuters,Reuters
John Geddie,"UPDATE 1-Singapore Dec exports snap 9-month losing streak, but concerns remain","Singapore's exports rebounded in December after nine months of contraction, confounding expectations for a fall, partly boosted by a sharp rise in pharmaceutical shipments.",https://uk.reuters.com/article/singapore-economy-exports-idUKL4N29M066,https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,2020-01-17T01:58:21Z,"* Dec exports +2.4% y/y, vs -1.8% forecast in Reuters poll 
* Pharmaceutical, gold exports bolster rebound 
* Key electronics sector continues decline (Adds details, analyst comment) 
By John Geddie 
SINGAPORE, Jan 17 (Reuters) - Singapore’s exports rebou… [+1931 chars]",reuters,Reuters
Andrea Shalal,EU's Hogan says bid to reset trade ties with U.S. off to 'good start',"European Union trade commissioner Phil Hogan said his meetings with senior U.S. officials marked a ""good start"" to resetting trade ties with Washington, but there was more work to do.'",https://www.reuters.com/article/us-usa-trade-eu-idUSKBN1ZG05A,https://s3.reutersmedia.net/resources/r/?m=02&d=20200117&t=2&i=1477488724&w=1200&r=LYNXMPEG0G037,2020-01-17T01:56:45Z,"WASHINGTON (Reuters) - European Union trade commissioner Phil Hogan said his meetings with senior U.S. officials marked a “good start” to resetting trade ties with Washington, but there was more work to do. 
Hogan said on Thursday that he had a good exchange… [+2495 chars]",reuters,Reuters
Reuters Editorial,アジア通貨動向（17日）＝タイバーツとフィリピンペソが軟調,"０１４６ＧＭＴ（日本時間午前１０時４６分）現在のアジア新興国通貨の対米ドル相
場は以下の通り。
    
    ＊Previous dayは各通貨のオンショア市場引け値。ただし円とシンガポールドルは前
日ＮＹ市場引け値。
 Currency               Latest bid  Previous day  Pct Move
 Japan yen              110.170     110.14        -0.03
 Sing dlr               1.347   …",https://jp.reuters.com/article/%E3%82%A2%E3%82%B8%E3%82%A2%E9%80%9A%E8%B2%A8%E5%8B%95%E5%90%9117%E6%97%A5%EF%BC%9D%E3%82%BF%E3%82%A4%E3%83%90%E3%83%BC%E3%83%84%E3%81%A8%E3%83%95%E3%82%A3%E3%83%AA%E3%83%94%E3%83%B3%E3%83%9A%E3%82%BD%E3%81%8C%E8%BB%9F%E8%AA%BF-idJPL4N29M0I4,https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,2020-01-17T01:55:05Z,,reuters,Reuters
Andrea Shalal,UPDATE 1-EU's Hogan says bid to reset trade ties with U.S. off to 'good start',"European Union trade commissioner Phil Hogan said his meetings with senior U.S. officials marked a ""good start"" to resetting trade ties with Washington, but there was more work to do.",https://www.reuters.com/article/usa-trade-eu-idUSL1N29L26A,https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,2020-01-17T01:37:15Z,"(Rewrites with EU trade commissioner remarks on meetings in Washington) 
By Andrea Shalal 
WASHINGTON, Jan 16 (Reuters) - European Union trade commissioner Phil Hogan said his meetings with senior U.S. officials marked a “good start” to resetting trade ties… [+2596 chars]",reuters,Reuters
Reuters Editorial,Yosemite National Park says 170 people ill in possible norovirus outbreak,"Some 170 people who have spent time in Yosemite National Park in recent weeks have suffered from a gastrointestinal ailment ""consistent with norovirus"" and two have been diagnosed with the illness, park officials said on Thursday.",https://www.reuters.com/article/us-yosemite-illness-idUSKBN1ZG04T,https://s3.reutersmedia.net/resources/r/?m=02&d=20200117&t=2&i=1477482105&w=1200&r=LYNXMPEG0G02N,2020-01-17T01:36:06Z,"(Reuters) - Some 170 people who have spent time in Yosemite National Park in recent weeks have suffered from a gastrointestinal ailment “consistent with norovirus” and two have been diagnosed with the illness, park officials said on Thursday. 
Most of those … [+823 chars]",reuters,Reuters
Sofia Menchu,New Guatemala government arrests former mayor in corruption raids,Guatemala's government said on Thursday prosecutors carried out raids and arrested a former mayor accused of corruption as the U.S. embassy announced it had revoked visas for some ex-officials in the Central American country this year.,https://www.reuters.com/article/us-guatemala-corruption-idUSKBN1ZG04P,https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,2020-01-17T01:25:16Z,GUATEMALA CITY (Reuters) - Guatemala’s government said on Thursday prosecutors carried out raids and arrested a former mayor accused of corruption as the U.S. embassy announced it had revoked visas for some ex-officials in the Central American country this ye… [+1743 chars],reuters,Reuters
Reuters Editorial,Giants' Nakken becomes first woman on MLB coaching staff,The San Francisco Giants made history on Thursday when Alyssa Nakken was hired as a coach to become the first woman on a major league coaching staff.,https://www.reuters.com/article/baseball-mlb-sf-nakken-idUSKBN1ZG04J,https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,2020-01-17T01:23:00Z,"The San Francisco Giants made history on Thursday when Alyssa Nakken was hired as a coach to become the first woman on a major league coaching staff. 
Nakken, 29, was a college softball player at Sacramento State from 2009-12. She joined the Giants in 2014 a… [+1732 chars]",reuters,Reuters
Jonathan Cable,Bank of England to hold steady on January 30 but chance of a cut high - Reuters poll,"The Bank of England is likely to keep borrowing costs steady on Jan. 30, the eve of Britain's departure from the European Union, but there is a significant chance it will opt to trim Bank Rate following a slew of weak data, a Reuters poll found.",https://in.reuters.com/article/uk-britain-rates-poll-idINKBN1ZG03V,https://s2.reutersmedia.net/resources/r/?m=02&d=20200117&t=2&i=1477476512&w=1200&r=LYNXMPEG0G02B,2020-01-17T01:14:27Z,"LONDON (Reuters) - The Bank of England is likely to keep borrowing costs steady on Jan. 30, the eve of Britain’s departure from the European Union, but there is a significant chance it will opt to trim Bank Rate following a slew of weak data, a Reuters poll f… [+3201 chars]",reuters,Reuters
